keyword	day	clicks	pis	cpc	leads	sales	umsatz	cpo	cpl	scr	lcr	ka	ctr	cost	Nday
AnzeigenKeyword5	2006-04-18	0	27	0	0	0	0	0	0	0	0	0	0	0	13256
AnzeigenKeyword5	2006-01-19	0	29	0	0	0	0	0	0	0	0	0	0	0	13167
AnzeigenKeyword5	2006-01-20	0	53	0	0	0	0	0	0	0	0	0	0	0	13168
AnzeigenKeyword5	2006-04-01	0	12	0	0	0	0	0	0	0	0	0	0	0	13239
AnzeigenKeyword5	2006-03-28	0	109	0	0	0	0	0	0	0	0	0	0	0	13235
AnzeigenKeyword5	2006-05-11	0	4	0	0	0	0	0	0	0	0	0	0	0	13279
AnzeigenKeyword5	2006-01-24	0	85	0	0	0	0	0	0	0	0	0	0	0	13172
AnzeigenKeyword5	2006-04-24	0	31	0	0	0	0	0	0	0	0	0	0	0	13262
AnzeigenKeyword5	2006-04-30	0	35	0	0	0	0	0	0	0	0	0	0	0	13268
AnzeigenKeyword5	2006-03-30	0	18	0	0	0	0	0	0	0	0	0	0	0	13237
AnzeigenKeyword5	2006-01-13	0	4	0	0	0	0	0	0	0	0	0	0	0	13161
AnzeigenKeyword5	2006-01-14	0	1	0	0	0	0	0	0	0	0	0	0	0	13162
AnzeigenKeyword5	2006-02-14	0	38	0	0	0	0	0	0	0	0	0	0	0	13193
AnzeigenKeyword5	2006-02-27	0	46	0	0	0	0	0	0	0	0	0	0	0	13206
AnzeigenKeyword5	2006-04-09	0	15	0	0	0	0	0	0	0	0	0	0	0	13247
AnzeigenKeyword5	2006-01-11	0	5	0	0	0	0	0	0	0	0	0	0	0	13159
AnzeigenKeyword5	2006-01-12	0	9	0	0	0	0	0	0	0	0	0	0	0	13160
AnzeigenKeyword5	2006-02-12	0	23	0	0	0	0	0	0	0	0	0	0	0	13191
AnzeigenKeyword5	2006-02-22	0	273	0	0	0	0	0	0	0	0	0	0	0	13201
AnzeigenKeyword5	2006-03-29	0	30	0	0	0	0	0	0	0	0	0	0	0	13236
AnzeigenKeyword5	2006-01-28	0	33	0	0	0	0	0	0	0	0	0	0	0	13176
AnzeigenKeyword5	2006-03-31	0	13	0	0	0	0	0	0	0	0	0	0	0	13238
AnzeigenKeyword5	2006-04-16	0	18	0	0	0	0	0	0	0	0	0	0	0	13254
AnzeigenKeyword5	2006-02-21	0	352	0	0	0	0	0	0	0	0	0	0	0	13200
AnzeigenKeyword5	2006-01-25	0	81	0	0	0	0	0	0	0	0	0	0	0	13173
AnzeigenKeyword5	2006-03-26	0	70	0	0	0	0	0	0	0	0	0	0	0.14	13233
AnzeigenKeyword5	2006-04-06	0	7	0	0	0	0	0	0	0	0	0	0	0	13244
AnzeigenKeyword5	2006-04-19	0	40	0	0	0	0	0	0	0	0	0	0	0	13257
AnzeigenKeyword5	2006-02-05	0	24	0	0	0	0	0	0	0	0	0	0	0	13184
AnzeigenKeyword5	2006-05-02	0	15	0	0	0	0	0	0	0	0	0	0	0	13270
AnzeigenKeyword5	2006-01-23	0	50	0	0	0	0	0	0	0	0	0	0	0	13171
AnzeigenKeyword5	2006-02-01	0	96	0	0	0	0	0	0	0	0	0	0	0	13180
AnzeigenKeyword5	2006-04-20	0	38	0	0	0	0	0	0	0	0	0	0	0	13258
AnzeigenKeyword5	2006-05-01	0	45	0	0	0	0	0	0	0	0	0	0	0	13269
AnzeigenKeyword5	2006-03-27	0	118	0	0	0	0	0	0	0	0	0	0	0	13234
AnzeigenKeyword5	2006-04-05	0	27	0	0	0	0	0	0	0	0	0	0	0	13243
AnzeigenKeyword5	2006-05-12	0	2	0	0	0	0	0	0	0	0	0	0	0	13280
AnzeigenKeyword5	2006-03-02	0	18	0	0	0	0	0	0	0	0	0	0	0	13209
AnzeigenKeyword5	2006-03-04	0	1	0	0	0	0	0	0	0	0	0	0	0	13211
AnzeigenKeyword5	2006-03-06	0	8	0	0	0	0	0	0	0	0	0	0	0	13213
AnzeigenKeyword5	2006-03-03	0	24	0	0	0	0	0	0	0	0	0	0	0	13210
AnzeigenKeyword5	2006-04-15	0	6	0	0	0	0	0	0	0	0	0	0	0	13253
AnzeigenKeyword5	2006-05-10	0	5	0	0	0	0	0	0	0	0	0	0	0	13278
AnzeigenKeyword5	2006-02-17	0	34	0	0	0	0	0	0	0	0	0	0	0	13196
AnzeigenKeyword5	2006-05-05	0	11	0	0	0	0	0	0	0	0	0	0	0	13273
AnzeigenKeyword5	2006-04-08	0	5	0	0	0	0	0	0	0	0	0	0	0	13246
AnzeigenKeyword5	2006-01-15	0	11	0	0	0	0	0	0	0	0	0	0	0	13163
AnzeigenKeyword5	2006-02-25	0	56	0	0	0	0	0	0	0	0	0	0	0	13204
AnzeigenKeyword5	2006-02-02	0	15	0	0	0	0	0	0	0	0	0	0	0	13181
AnzeigenKeyword5	2006-03-07	0	50	0	0	0	0	0	0	0	0	0	0	0	13214
AnzeigenKeyword5	2006-01-31	0	21	0	0	0	0	0	0	0	0	0	0	0	13179
AnzeigenKeyword5	2006-02-04	0	18	0	0	0	0	0	0	0	0	0	0	0	13183
AnzeigenKeyword5	2006-02-11	0	43	0	0	0	0	0	0	0	0	0	0	0	13190
AnzeigenKeyword5	2006-03-08	0	56	0	0	0	0	0	0	0	0	0	0	0	13215
AnzeigenKeyword5	2006-03-09	0	10	0	0	0	0	0	0	0	0	0	0	0	13216
